timestamp,object,message
2026-06-27T02:33:41.012Z,frontend,Route (app)                                 Size  First Load JS
2026-06-27T02:33:41.012Z,frontend,┌ ○ /                                      162 B         106 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /_not-found                            991 B         103 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /account                             1.93 kB         108 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /login                               2.08 kB         104 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /screener                            7.04 kB         109 kB
2026-06-27T02:33:41.012Z,frontend,└ ○ /signup                              2.17 kB         105 kB
2026-06-27T02:33:41.012Z,frontend,"'+ First Load JS shared by all             102 kB"
2026-06-27T02:33:41.012Z,frontend,├ chunks/255-98a0bdaa30757bda.js       46.2 kB
2026-06-27T02:33:41.012Z,frontend,├ chunks/4bd1b696-c023c6e3521b1417.js  54.2 kB
2026-06-27T02:33:41.012Z,frontend,└ other shared chunks (total)          1.92 kB
2026-06-27T02:33:41.012Z,frontend,○  (Static)  prerendered as static content
2026-06-27T02:33:41.045Z,frontend,npm notice
2026-06-27T02:33:41.045Z,frontend,npm notice New major version of npm available! 10.9.8 -> 11.17.0
2026-06-27T02:33:41.045Z,frontend,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.17.0
2026-06-27T02:33:41.045Z,frontend,npm notice To update run: npm install -g npm@11.17.0
2026-06-27T02:33:41.045Z,frontend,npm notice
2026-06-27T02:42:25.526Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T02:42:25.526Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:42:25.527Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T02:42:25.527Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:42:25.534Z,backend,transferring (229 bytes)
2026-06-27T02:42:25.545Z,frontend,transferring (553 bytes)
2026-06-27T02:42:25.546Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T02:42:25.556Z,frontend,[internal] load metadata for docker.io/library/node:22-alpine
2026-06-27T02:42:26.030Z,backend,[internal] load .dockerignore
2026-06-27T02:42:26.030Z,backend,[internal] load .dockerignore
2026-06-27T02:42:26.037Z,frontend,[internal] load .dockerignore
2026-06-27T02:42:26.037Z,frontend,[internal] load .dockerignore
2026-06-27T02:42:26.053Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:42:26.054Z,backend,[internal] load build context
2026-06-27T02:42:26.056Z,backend,[internal] load build context
2026-06-27T02:42:26.060Z,frontend,[internal] load build context
2026-06-27T02:42:26.060Z,frontend,[deps 1/4] FROM docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T02:42:26.088Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:42:26.093Z,frontend,[internal] load build context
2026-06-27T02:42:26.093Z,frontend,resolve docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T02:42:26.312Z,backend,transferring (831126 bytes)
2026-06-27T02:42:26.330Z,backend,[2/5] WORKDIR /app
2026-06-27T02:42:26.330Z,backend,[3/5] COPY requirements.txt .
2026-06-27T02:42:26.330Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T02:42:26.330Z,backend,[5/5] COPY . .
2026-06-27T02:42:26.602Z,frontend,transferring (1618102 bytes)
2026-06-27T02:42:26.625Z,frontend,[deps 2/4] WORKDIR /app
2026-06-27T02:42:26.625Z,frontend,[deps 3/4] COPY package.json ./
2026-06-27T02:42:26.625Z,frontend,[deps 4/4] RUN npm install
2026-06-27T02:42:26.625Z,frontend,[builder 3/5] COPY --from=deps /app/node_modules ./node_modules
2026-06-27T02:42:26.625Z,frontend,[builder 4/5] COPY . .
2026-06-27T02:42:26.625Z,frontend,[builder 5/5] RUN npm run build
2026-06-27T02:42:26.625Z,frontend,[runner 3/5] COPY --from=builder /app/.next/standalone ./
2026-06-27T02:42:26.625Z,frontend,[runner 4/5] COPY --from=builder /app/.next/static ./.next/static
2026-06-27T02:42:26.625Z,frontend,[runner 5/5] COPY --from=builder /app/public ./public
2026-06-27T02:42:26.628Z,frontend,exporting to image
2026-06-27T02:42:26.630Z,frontend,exporting layers
2026-06-27T02:42:26.633Z,frontend,exporting manifest sha256:c7435933e7cd8e2876da0c9434931b0b0b6a5804578698d0382bfaa043e0b6de
2026-06-27T02:42:26.636Z,frontend,exporting config sha256:14d1352effc10833406565959a79415949d8d3a60d3d9f21df22e19bdff42fda
2026-06-27T02:42:26.682Z,frontend,exporting attestation manifest sha256:a5b325caf5144a04d320ac73c49670886417e527c285d2b13ee9890004cef0ba
2026-06-27T02:42:26.697Z,frontend,exporting manifest list sha256:ace56baf52850a948459693dc90206ea1beea04854b23232af57395b1f02ef19
2026-06-27T02:42:26.700Z,frontend,naming to docker.io/library/yieldscreener-frontend:latest
2026-06-27T02:42:26.707Z,frontend,unpacking to docker.io/library/yieldscreener-frontend:latest
2026-06-27T02:42:28.548Z,backend,exporting to image
2026-06-27T02:42:32.427Z,backend,exporting layers
2026-06-27T02:42:32.441Z,backend,exporting manifest sha256:e775259278a29537c52742b4dbdc070cee538ae4bb8c8bfc59981d73bf5fb483
2026-06-27T02:42:32.456Z,backend,exporting config sha256:fbc6a55d0933e37ba012317e2a7d927014bd0b41d4e49078aadca027c5bb3d3c
2026-06-27T02:42:32.499Z,backend,exporting attestation manifest sha256:1de8b0dbcc1eae3e24265c80f75d89184b6f7b8d21ac824a28033821d5341c05
2026-06-27T02:42:32.513Z,backend,exporting manifest list sha256:69547fbe2e54f890a49a0d7e6ce89f97bfb0d80845d74f70cb342d3caf81a61d
2026-06-27T02:42:32.516Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:42:33.288Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:43:17.351Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:43:17.351Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:43:17.357Z,backend,transferring (229 bytes)
2026-06-27T02:43:17.366Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T02:43:17.648Z,backend,[internal] load .dockerignore
2026-06-27T02:43:17.648Z,backend,[internal] load .dockerignore
2026-06-27T02:43:17.664Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:43:17.665Z,backend,[internal] load build context
2026-06-27T02:43:17.665Z,backend,[internal] load build context
2026-06-27T02:43:17.692Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:43:17.889Z,backend,transferring (817391 bytes)
2026-06-27T02:43:17.909Z,backend,[2/5] WORKDIR /app
2026-06-27T02:43:17.909Z,backend,[3/5] COPY requirements.txt .
2026-06-27T02:43:17.909Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T02:43:17.909Z,backend,[5/5] COPY . .
2026-06-27T02:43:17.912Z,backend,exporting to image
2026-06-27T02:43:17.913Z,backend,exporting layers
2026-06-27T02:43:17.916Z,backend,exporting manifest sha256:e775259278a29537c52742b4dbdc070cee538ae4bb8c8bfc59981d73bf5fb483
2026-06-27T02:43:17.918Z,backend,exporting config sha256:fbc6a55d0933e37ba012317e2a7d927014bd0b41d4e49078aadca027c5bb3d3c
2026-06-27T02:43:17.964Z,backend,exporting attestation manifest sha256:0f1d31f5b0f6cf501f37ee8344b85dbca703bdc348906f7f0fb754c16dba1c69
2026-06-27T02:43:17.980Z,backend,exporting manifest list sha256:e631283bd67476f5480d8a153b72e21d6020ab63bafe51404c3f5ce9ee026fdb
2026-06-27T02:43:17.982Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:43:17.990Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:43:58.778Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:43:58.778Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:43:58.778Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T02:43:58.778Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T02:43:58.784Z,backend,transferring (229 bytes)
2026-06-27T02:43:58.794Z,frontend,transferring (553 bytes)
2026-06-27T02:43:58.795Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T02:43:58.803Z,frontend,[internal] load metadata for docker.io/library/node:22-alpine
2026-06-27T02:43:59.044Z,frontend,[internal] load .dockerignore
2026-06-27T02:43:59.044Z,frontend,[internal] load .dockerignore
2026-06-27T02:43:59.064Z,frontend,[internal] load build context
